bug_id,data_abertura,data_fechamento,severidade,status,sistema,sprint,responsavel,tempo_correcao,prioridade,prioridade_num,ambiente,tipo_bug,reincidente
49,2025-02-08,2025-02-11,Alta,Fechado,Mobile App,Sprint 7,Fernanda,85,Baixa,1,Homologação,API,Não
50,2025-12-26,2025-12-28,Média,Fechado,Mobile App,Sprint 7,Juliana,71,Baixa,1,Produção,API,Não
51,2025-08-04,2025-08-06,Baixa,Fechado,Dashboard,Sprint 4,João,52,Alta,3,Homologação,Backend,Não
52,2025-12-26,2025-12-28,Média,Fechado,Mobile App,Sprint 3,Juliana,57,Alta,3,Produção,Backend,Não
53,2025-05-02,2025-05-02,Alta,Aberto,Pagamento,Sprint 3,Carlos,12,Baixa,1,Produção,Frontend,Não
54,2024-11-29,2024-12-02,Crítica,Fechado,Mobile App,Sprint 10,Ana,79,Baixa,1,Homologação,Backend,Não
55,2024-09-04,2024-09-05,Baixa,Aberto,API Clientes,Sprint 4,Ana,32,Baixa,1,Homologação,Frontend,Sim
56,2025-10-08,2025-10-12,Crítica,Aberto,API Clientes,Sprint 11,Marcos,118,Baixa,1,Homologação,Backend,Não
57,2025-03-02,2025-03-06,Crítica,Aberto,Mobile App,Sprint 8,João,107,Alta,3,Homologação,Frontend,Não
58,2026-01-05,2026-01-09,Crítica,Aberto,Dashboard,Sprint 8,Carlos,99,Alta,3,Homologação,Frontend,Não
59,2025-09-28,2025-09-29,Baixa,Aberto,Pagamento,Sprint 4,João,43,Média,2,Produção,API,Sim
60,2024-05-14,2024-05-14,Crítica,Fechado,Relatórios,Sprint 8,João,9,Média,2,Produção,Frontend,Não
61,2025-03-04,2025-03-06,Baixa,Fechado,API Clientes,Sprint 1,Fernanda,50,Alta,3,Homologação,Backend,Não
62,2024-12-04,2024-12-06,Média,Fechado,Pagamento,Sprint 5,João,69,Alta,3,Homologação,Frontend,Não
63,2025-11-28,2025-11-29,Crítica,Aberto,API Clientes,Sprint 3,Marcos,44,Alta,3,Produção,Backend,Sim
64,2024-05-15,2024-05-15,Crítica,Aberto,API Clientes,Sprint 3,Carlos,11,Alta,3,Homologação,Backend,Não
65,2025-10-15,2025-10-16,Alta,Fechado,API Clientes,Sprint 5,Rafael,28,Média,2,Homologação,Backend,Sim
66,2025-08-03,2025-08-05,Baixa,Fechado,Pagamento,Sprint 11,Carlos,61,Baixa,1,Produção,Frontend,Sim
67,2025-10-26,2025-10-27,Média,Aberto,Pagamento,Sprint 8,Juliana,26,Baixa,1,Produção,API,Sim
68,2025-07-20,2025-07-22,Alta,Fechado,Pagamento,Sprint 10,Marcos,60,Alta,3,Produção,Frontend,Não
69,2025-01-07,2025-01-07,Baixa,Fechado,Relatórios,Sprint 11,João,14,Alta,3,Homologação,API,Sim
70,2025-02-27,2025-02-27,Média,Aberto,Mobile App,Sprint 5,Rafael,10,Alta,3,Produção,API,Sim
71,2024-06-26,2024-06-27,Crítica,Fechado,Login,Sprint 9,Juliana,45,Alta,3,Homologação,Frontend,Não
72,2025-07-20,2025-07-24,Baixa,Fechado,Dashboard,Sprint 11,Rafael,106,Média,2,Homologação,API,Sim
73,2025-04-28,2025-04-30,Alta,Fechado,API Clientes,Sprint 7,Rafael,56,Baixa,1,Homologação,Backend,Sim
74,2025-04-07,2025-04-11,Alta,Fechado,Pagamento,Sprint 8,Marcos,107,Baixa,1,Homologação,Backend,Sim
75,2026-03-28,2026-03-30,Média,Fechado,Pagamento,Sprint 6,Rafael,64,Média,2,Homologação,Backend,Não
76,2024-07-06,2024-07-10,Alta,Aberto,Relatórios,Sprint 4,Carlos,113,Alta,3,Produção,API,Não
77,2024-10-30,2024-11-01,Média,Fechado,Mobile App,Sprint 12,João,63,Alta,3,Homologação,Frontend,Sim
78,2025-01-07,2025-01-08,Crítica,Aberto,Dashboard,Sprint 11,Marcos,38,Baixa,1,Homologação,Backend,Não
79,2025-01-17,2025-01-19,Alta,Fechado,Mobile App,Sprint 8,Fernanda,55,Alta,3,Homologação,Backend,Sim
80,2025-07-16,2025-07-16,Média,Fechado,Login,Sprint 12,Marcos,16,Alta,3,Produção,Frontend,Sim
81,2026-04-29,2026-05-02,Alta,Fechado,Login,Sprint 4,Fernanda,95,Média,2,Produção,Backend,Sim
82,2024-06-11,2024-06-12,Média,Fechado,Login,Sprint 1,Marcos,39,Baixa,1,Homologação,API,Sim
83,2025-03-11,2025-03-14,Baixa,Aberto,Relatórios,Sprint 5,João,82,Média,2,Homologação,Backend,Não
84,2026-04-18,2026-04-19,Alta,Fechado,Login,Sprint 2,João,24,Baixa,1,Homologação,Frontend,Sim
85,2025-01-18,2025-01-18,Alta,Aberto,Pagamento,Sprint 2,Marcos,20,Baixa,1,Homologação,API,Sim
86,2025-10-18,2025-10-22,Crítica,Fechado,API Clientes,Sprint 5,Rafael,100,Alta,3,Homologação,Backend,Sim
87,2025-05-31,2025-06-03,Baixa,Aberto,Mobile App,Sprint 4,Fernanda,79,Alta,3,Produção,Frontend,Sim
88,2024-06-10,2024-06-10,Baixa,Aberto,Login,Sprint 7,João,23,Alta,3,Homologação,Backend,Sim
89,2025-02-24,2025-02-25,Alta,Fechado,Login,Sprint 11,Ana,30,Média,2,Homologação,API,Sim
90,2025-08-07,2025-08-09,Média,Aberto,Dashboard,Sprint 3,Carlos,55,Baixa,1,Produção,Frontend,Não
91,2025-04-16,2025-04-19,Alta,Fechado,Login,Sprint 8,Juliana,77,Alta,3,Homologação,API,Não
92,2025-06-27,2025-06-28,Crítica,Fechado,Login,Sprint 10,Carlos,35,Alta,3,Homologação,API,Não
93,2025-08-10,2025-08-13,Baixa,Aberto,Pagamento,Sprint 11,Rafael,78,Média,2,Produção,API,Não
94,2026-04-14,2026-04-17,Média,Fechado,Relatórios,Sprint 11,João,74,Baixa,1,Homologação,Frontend,Não
95,2026-01-12,2026-01-15,Baixa,Fechado,Dashboard,Sprint 7,Fernanda,82,Média,2,Homologação,API,Sim
96,2024-09-01,2024-09-05,Alta,Fechado,Mobile App,Sprint 8,Fernanda,110,Baixa,1,Homologação,API,Sim
97,2025-08-02,2025-08-04,Alta,Fechado,Dashboard,Sprint 2,Rafael,59,Baixa,1,Homologação,API,Sim
98,2025-05-31,2025-06-03,Crítica,Fechado,Login,Sprint 4,Marcos,85,Alta,3,Homologação,API,Não
99,2025-04-07,2025-04-10,Baixa,Aberto,Dashboard,Sprint 9,Ana,81,Média,2,Homologação,Backend,Não
100,2024-12-09,2024-12-09,Média,Aberto,Dashboard,Sprint 9,Carlos,16,Baixa,1,Homologação,Frontend,Sim
101,2025-06-03,2025-06-07,Crítica,Aberto,Mobile App,Sprint 3,João,108,Baixa,1,Homologação,API,Não
102,2026-04-26,2026-04-28,Crítica,Aberto,API Clientes,Sprint 9,Ana,54,Média,2,Homologação,Frontend,Sim
103,2025-11-02,2025-11-06,Alta,Fechado,Dashboard,Sprint 9,Fernanda,111,Baixa,1,Produção,Backend,Não
104,2025-02-15,2025-02-19,Crítica,Aberto,API Clientes,Sprint 9,João,108,Alta,3,Homologação,Backend,Não
105,2025-12-19,2025-12-21,Média,Aberto,Relatórios,Sprint 7,Ana,59,Média,2,Homologação,Frontend,Não
106,2024-05-10,2024-05-14,Crítica,Fechado,Mobile App,Sprint 11,Ana,96,Média,2,Homologação,Frontend,Sim
107,2025-10-13,2025-10-15,Alta,Aberto,API Clientes,Sprint 2,Marcos,65,Alta,3,Homologação,Frontend,Sim
108,2025-08-28,2025-08-30,Média,Aberto,API Clientes,Sprint 5,Fernanda,53,Alta,3,Homologação,API,Sim
109,2024-08-19,2024-08-23,Crítica,Fechado,Mobile App,Sprint 12,Rafael,110,Média,2,Homologação,API,Sim
110,2024-05-26,2024-05-29,Média,Fechado,Pagamento,Sprint 12,Carlos,80,Baixa,1,Homologação,Frontend,Sim
111,2025-11-01,2025-11-03,Alta,Aberto,Login,Sprint 6,Rafael,57,Baixa,1,Produção,Backend,Não
112,2025-06-12,2025-06-14,Média,Aberto,Relatórios,Sprint 7,Marcos,48,Média,2,Produção,Frontend,Sim
113,2024-10-25,2024-10-25,Crítica,Aberto,API Clientes,Sprint 10,Ana,11,Alta,3,Produção,Backend,Não
114,2025-04-26,2025-04-28,Baixa,Fechado,Dashboard,Sprint 11,Marcos,59,Média,2,Produção,Frontend,Não
115,2025-12-20,2025-12-21,Alta,Fechado,Mobile App,Sprint 5,João,45,Alta,3,Homologação,Frontend,Não
116,2026-02-18,2026-02-22,Baixa,Aberto,API Clientes,Sprint 10,Fernanda,110,Média,2,Homologação,API,Não
117,2026-03-10,2026-03-10,Crítica,Fechado,Login,Sprint 10,Rafael,3,Alta,3,Produção,API,Não
118,2025-10-08,2025-10-12,Média,Fechado,Pagamento,Sprint 11,Ana,107,Média,2,Homologação,API,Sim
119,2025-07-16,2025-07-19,Baixa,Fechado,API Clientes,Sprint 1,Marcos,81,Baixa,1,Homologação,API,Sim
120,2025-03-06,2025-03-06,Alta,Fechado,Pagamento,Sprint 4,Ana,12,Média,2,Homologação,API,Não
121,2024-11-06,2024-11-10,Alta,Fechado,Dashboard,Sprint 12,Rafael,107,Baixa,1,Homologação,Frontend,Não
122,2026-04-21,2026-04-21,Média,Fechado,Relatórios,Sprint 6,Carlos,10,Baixa,1,Homologação,Frontend,Não
123,2025-08-21,2025-08-23,Crítica,Fechado,Mobile App,Sprint 12,Juliana,69,Baixa,1,Homologação,API,Não
124,2025-05-30,2025-06-03,Alta,Aberto,Mobile App,Sprint 4,João,106,Alta,3,Produção,API,Não
125,2026-02-14,2026-02-18,Média,Aberto,Mobile App,Sprint 8,Juliana,118,Alta,3,Homologação,API,Não
126,2025-04-29,2025-04-29,Baixa,Aberto,Dashboard,Sprint 8,Carlos,15,Baixa,1,Produção,Frontend,Sim
127,2025-08-23,2025-08-25,Alta,Fechado,Relatórios,Sprint 12,Juliana,50,Média,2,Produção,Backend,Sim
128,2025-06-14,2025-06-18,Crítica,Fechado,Login,Sprint 12,Fernanda,107,Média,2,Produção,Backend,Não
129,2024-10-01,2024-10-02,Baixa,Fechado,Relatórios,Sprint 11,Fernanda,31,Média,2,Produção,Backend,Não
130,2026-03-01,2026-03-02,Crítica,Aberto,Mobile App,Sprint 4,Juliana,25,Baixa,1,Produção,Frontend,Não
131,2025-03-16,2025-03-17,Média,Aberto,Relatórios,Sprint 4,Marcos,32,Baixa,1,Produção,Frontend,Não
132,2024-09-25,2024-09-29,Baixa,Fechado,Pagamento,Sprint 3,Marcos,100,Baixa,1,Homologação,Frontend,Sim
133,2024-07-14,2024-07-17,Média,Aberto,Dashboard,Sprint 4,Marcos,85,Baixa,1,Homologação,Frontend,Sim
134,2025-09-14,2025-09-15,Média,Fechado,Relatórios,Sprint 2,Juliana,34,Baixa,1,Produção,Backend,Não
135,2025-10-16,2025-10-20,Baixa,Fechado,Relatórios,Sprint 4,Marcos,100,Média,2,Produção,API,Não
136,2025-06-07,2025-06-09,Baixa,Aberto,API Clientes,Sprint 7,João,59,Alta,3,Produção,Backend,Não
137,2025-02-18,2025-02-18,Alta,Aberto,Login,Sprint 3,Fernanda,10,Baixa,1,Homologação,Backend,Não
138,2025-09-13,2025-09-15,Crítica,Aberto,Mobile App,Sprint 2,Rafael,59,Alta,3,Produção,Backend,Não
139,2024-11-26,2024-11-30,Crítica,Fechado,API Clientes,Sprint 7,João,114,Baixa,1,Produção,Backend,Não
140,2026-01-11,2026-01-12,Alta,Fechado,Pagamento,Sprint 11,João,41,Alta,3,Produção,Frontend,Sim
141,2025-01-22,2025-01-22,Baixa,Fechado,Pagamento,Sprint 9,Carlos,12,Média,2,Homologação,API,Sim
142,2024-12-06,2024-12-08,Crítica,Aberto,Dashboard,Sprint 10,Fernanda,53,Média,2,Homologação,Frontend,Sim
143,2025-04-25,2025-04-25,Crítica,Aberto,Login,Sprint 6,Rafael,20,Alta,3,Homologação,Frontend,Não
144,2025-04-08,2025-04-11,Crítica,Aberto,Relatórios,Sprint 11,Rafael,74,Baixa,1,Homologação,Frontend,Sim
145,2025-11-30,2025-12-01,Alta,Fechado,Dashboard,Sprint 1,Ana,35,Alta,3,Produção,API,Não
146,2024-05-07,2024-05-07,Baixa,Aberto,Mobile App,Sprint 9,Ana,9,Baixa,1,Homologação,Backend,Não
147,2025-05-11,2025-05-12,Alta,Fechado,Mobile App,Sprint 6,Rafael,44,Baixa,1,Produção,Frontend,Sim
148,2025-05-14,2025-05-14,Baixa,Aberto,Dashboard,Sprint 8,Juliana,21,Alta,3,Homologação,Backend,Não
149,2024-09-12,2024-09-14,Média,Aberto,Dashboard,Sprint 7,Carlos,54,Média,2,Homologação,API,Não
150,2024-11-13,2024-11-15,Alta,Aberto,Pagamento,Sprint 7,Marcos,68,Alta,3,Produção,Frontend,Sim
151,2024-09-07,2024-09-08,Média,Fechado,Dashboard,Sprint 6,Carlos,39,Baixa,1,Produção,Backend,Não
152,2026-04-24,2026-04-24,Crítica,Aberto,Relatórios,Sprint 9,Rafael,23,Baixa,1,Homologação,Frontend,Não
153,2025-09-22,2025-09-26,Baixa,Fechado,Login,Sprint 8,Carlos,111,Alta,3,Homologação,API,Não
154,2026-01-08,2026-01-11,Crítica,Fechado,Login,Sprint 7,Carlos,74,Média,2,Homologação,Frontend,Não
155,2024-09-16,2024-09-20,Alta,Aberto,API Clientes,Sprint 2,Ana,107,Alta,3,Homologação,API,Não
156,2026-02-19,2026-02-21,Crítica,Fechado,Mobile App,Sprint 6,Ana,68,Baixa,1,Homologação,Frontend,Sim
157,2025-11-01,2025-11-03,Baixa,Aberto,Dashboard,Sprint 6,Juliana,66,Alta,3,Produção,Frontend,Sim
158,2026-01-07,2026-01-07,Média,Aberto,Relatórios,Sprint 3,Rafael,19,Média,2,Produção,Frontend,Não
159,2025-06-17,2025-06-19,Crítica,Fechado,Mobile App,Sprint 6,Ana,60,Alta,3,Homologação,Frontend,Não
160,2025-01-21,2025-01-23,Alta,Fechado,Relatórios,Sprint 1,Fernanda,57,Alta,3,Produção,Backend,Não
161,2024-10-19,2024-10-21,Baixa,Fechado,Dashboard,Sprint 2,Juliana,58,Baixa,1,Produção,API,Não
162,2025-11-03,2025-11-05,Baixa,Fechado,Relatórios,Sprint 11,Ana,60,Alta,3,Homologação,API,Não
163,2025-03-29,2025-03-31,Baixa,Fechado,Login,Sprint 6,Juliana,65,Baixa,1,Produção,API,Sim
164,2024-10-31,2024-10-31,Crítica,Fechado,Relatórios,Sprint 9,Marcos,6,Baixa,1,Produção,Backend,Não
165,2024-07-28,2024-08-01,Crítica,Fechado,Dashboard,Sprint 11,Marcos,118,Média,2,Produção,API,Não
166,2025-05-22,2025-05-22,Baixa,Fechado,Dashboard,Sprint 5,Juliana,9,Média,2,Produção,Backend,Sim
167,2025-07-03,2025-07-06,Média,Fechado,Dashboard,Sprint 11,Juliana,75,Alta,3,Homologação,Frontend,Sim
168,2025-03-19,2025-03-20,Crítica,Fechado,Pagamento,Sprint 11,Juliana,40,Alta,3,Produção,API,Não
169,2025-02-28,2025-03-02,Baixa,Fechado,Dashboard,Sprint 3,Ana,66,Média,2,Homologação,Backend,Sim
170,2025-06-18,2025-06-19,Média,Aberto,Dashboard,Sprint 2,Marcos,29,Baixa,1,Produção,API,Não
171,2025-12-27,2025-12-31,Média,Fechado,Pagamento,Sprint 3,Ana,113,Alta,3,Produção,API,Não
172,2024-12-05,2024-12-05,Alta,Aberto,API Clientes,Sprint 10,Fernanda,6,Média,2,Homologação,Frontend,Sim
173,2025-01-16,2025-01-17,Média,Fechado,Mobile App,Sprint 10,João,40,Média,2,Homologação,Backend,Não
174,2024-11-11,2024-11-13,Crítica,Aberto,Pagamento,Sprint 10,Ana,65,Alta,3,Homologação,Frontend,Não
175,2025-07-13,2025-07-17,Baixa,Aberto,Dashboard,Sprint 2,Rafael,112,Média,2,Produção,Backend,Não
176,2026-04-19,2026-04-23,Média,Fechado,Login,Sprint 4,Rafael,116,Alta,3,Homologação,Backend,Sim
177,2024-07-12,2024-07-14,Crítica,Fechado,Pagamento,Sprint 7,Carlos,54,Baixa,1,Homologação,Frontend,Sim
178,2024-10-28,2024-10-29,Alta,Aberto,Pagamento,Sprint 1,Fernanda,41,Baixa,1,Homologação,API,Sim
179,2024-07-28,2024-08-01,Crítica,Fechado,Relatórios,Sprint 1,Carlos,98,Alta,3,Produção,Backend,Sim
180,2025-06-18,2025-06-22,Crítica,Aberto,Dashboard,Sprint 4,Fernanda,107,Baixa,1,Produção,Frontend,Sim
181,2025-06-14,2025-06-16,Crítica,Aberto,Login,Sprint 8,Marcos,54,Alta,3,Produção,API,Sim
182,2024-08-23,2024-08-26,Alta,Fechado,Login,Sprint 10,Fernanda,92,Baixa,1,Produção,API,Não
183,2024-08-16,2024-08-17,Baixa,Fechado,Login,Sprint 9,Marcos,24,Alta,3,Produção,Backend,Não
184,2024-12-27,2024-12-27,Crítica,Fechado,Dashboard,Sprint 12,Carlos,6,Alta,3,Homologação,Frontend,Não
185,2025-08-24,2025-08-25,Baixa,Fechado,Pagamento,Sprint 1,Fernanda,31,Alta,3,Homologação,API,Sim
186,2025-09-03,2025-09-07,Crítica,Fechado,Mobile App,Sprint 3,Rafael,107,Alta,3,Produção,Frontend,Não
187,2025-08-28,2025-08-28,Média,Aberto,Pagamento,Sprint 1,Fernanda,5,Média,2,Homologação,API,Não
188,2025-12-28,2026-01-01,Crítica,Fechado,Login,Sprint 11,Ana,105,Alta,3,Homologação,Backend,Sim
189,2024-05-26,2024-05-30,Alta,Fechado,Login,Sprint 6,João,111,Alta,3,Homologação,API,Não
190,2025-05-22,2025-05-26,Alta,Aberto,API Clientes,Sprint 12,João,115,Média,2,Homologação,API,Não
191,2025-06-24,2025-06-28,Crítica,Aberto,API Clientes,Sprint 10,Rafael,103,Baixa,1,Produção,API,Não
192,2025-08-15,2025-08-16,Baixa,Fechado,Mobile App,Sprint 5,Fernanda,42,Baixa,1,Homologação,API,Não
193,2024-09-23,2024-09-23,Crítica,Fechado,API Clientes,Sprint 1,Juliana,22,Alta,3,Homologação,API,Não
194,2024-10-21,2024-10-22,Baixa,Aberto,Mobile App,Sprint 11,João,36,Alta,3,Homologação,API,Sim
195,2025-01-04,2025-01-04,Crítica,Aberto,Pagamento,Sprint 2,Ana,4,Baixa,1,Homologação,Backend,Não
196,2025-06-26,2025-06-29,Média,Fechado,Dashboard,Sprint 6,João,73,Baixa,1,Produção,API,Sim
197,2025-09-20,2025-09-22,Crítica,Fechado,Mobile App,Sprint 5,Ana,68,Média,2,Produção,Frontend,Sim
198,2025-03-05,2025-03-07,Crítica,Aberto,Dashboard,Sprint 5,Juliana,64,Alta,3,Homologação,Frontend,Não
199,2024-12-17,2024-12-20,Média,Aberto,Pagamento,Sprint 2,João,89,Média,2,Produção,API,Não
200,2025-05-28,2025-05-28,Alta,Fechado,Mobile App,Sprint 2,Marcos,12,Alta,3,Homologação,Backend,Sim
201,2024-08-26,2024-08-29,Média,Fechado,Relatórios,Sprint 4,Carlos,92,Alta,3,Produção,Frontend,Sim
202,2024-09-04,2024-09-08,Baixa,Fechado,Relatórios,Sprint 10,Fernanda,102,Média,2,Homologação,API,Sim
203,2025-09-10,2025-09-13,Baixa,Fechado,API Clientes,Sprint 12,Juliana,79,Baixa,1,Homologação,API,Não
204,2025-09-29,2025-10-03,Baixa,Aberto,Dashboard,Sprint 11,Carlos,99,Média,2,Homologação,Backend,Não
205,2025-07-01,2025-07-01,Média,Aberto,API Clientes,Sprint 9,Rafael,17,Alta,3,Produção,Frontend,Sim
206,2025-05-10,2025-05-11,Média,Fechado,Mobile App,Sprint 4,Fernanda,39,Baixa,1,Homologação,Frontend,Não
207,2025-05-11,2025-05-12,Alta,Aberto,Mobile App,Sprint 5,Marcos,26,Alta,3,Produção,API,Sim
208,2025-11-25,2025-11-28,Média,Aberto,Mobile App,Sprint 10,Juliana,76,Alta,3,Homologação,API,Sim
209,2025-03-30,2025-04-03,Baixa,Aberto,Mobile App,Sprint 10,Fernanda,106,Baixa,1,Produção,API,Não
210,2024-06-09,2024-06-12,Baixa,Fechado,Mobile App,Sprint 9,Fernanda,80,Alta,3,Homologação,Backend,Sim
211,2024-08-15,2024-08-19,Crítica,Fechado,API Clientes,Sprint 2,Juliana,104,Alta,3,Produção,Frontend,Não
212,2025-12-26,2025-12-28,Crítica,Aberto,Dashboard,Sprint 10,Ana,54,Média,2,Homologação,API,Não
213,2025-09-15,2025-09-18,Crítica,Aberto,Dashboard,Sprint 9,Marcos,94,Média,2,Produção,Backend,Sim
214,2025-01-19,2025-01-21,Alta,Fechado,Pagamento,Sprint 3,Carlos,60,Baixa,1,Produção,Backend,Não
215,2025-11-12,2025-11-16,Crítica,Aberto,Pagamento,Sprint 6,Marcos,111,Alta,3,Homologação,Frontend,Sim
216,2024-06-19,2024-06-21,Crítica,Fechado,Dashboard,Sprint 8,Carlos,64,Alta,3,Produção,Backend,Não
217,2026-01-16,2026-01-17,Alta,Aberto,Login,Sprint 5,João,31,Baixa,1,Homologação,Backend,Sim
218,2026-04-26,2026-04-30,Crítica,Aberto,Dashboard,Sprint 12,Fernanda,109,Baixa,1,Homologação,Backend,Sim
219,2024-08-26,2024-08-28,Média,Fechado,Relatórios,Sprint 5,Carlos,52,Baixa,1,Homologação,API,Não
220,2024-06-02,2024-06-06,Alta,Aberto,Pagamento,Sprint 2,João,98,Alta,3,Homologação,Backend,Não
221,2024-08-28,2024-09-01,Média,Fechado,Relatórios,Sprint 1,Carlos,97,Baixa,1,Produção,Frontend,Não
222,2026-02-08,2026-02-12,Crítica,Aberto,Relatórios,Sprint 9,Ana,103,Média,2,Homologação,API,Não
223,2024-11-20,2024-11-20,Alta,Fechado,Relatórios,Sprint 9,Marcos,21,Média,2,Homologação,API,Não
